id,question,choice1,choice2,choice3,choice4,choice5,choice6,solution,explanation
1,"Возможно ли, что Ваша роль (игрок 1 / игрок 2) изменится в течение эксперимента?",Да,Нет,Не знаю,,,,Нет,Ваша роль останется неизменной в течение всего эксперимента
2,"Какова вероятность того, что у Вас будет один и тот же участник эксперимента в качестве партнёра во всей трёх играх?",Ваш партнёр не меняется,Ваш партнёр будет выбираться случайным образом перед каждой игрой,Не знаю,,,,Ваш партнёр будет выбираться случайным образом перед каждой игрой,Скорее всего у Вас будет новый партнёр в каждой следующей игре
3,"Сколько жетонов Вы получите, если предложение игрока 1 будет отклонено?",,,,,,,0,"Ответ не зависит от Вашей роли, оба игрока получают 0 жетонов в случае отказа от предложения"
4,Какое максимальное количество жетонов Вы можете получить для оплаты в течение эксперимента (не считая опроса)?,,,,,,,100,"Только одна из трёх игр будет случайно выбрана для оплаты, а в каждой игре можно получить самое большее 100 жетонов"
5,Какое минимальное количество жетонов Вы можете получить для оплаты в течение эксперимента (не считая опроса)?,,,,,,,0,В каждой игре минимальная выплата - 0 жетонов
6,"В игре 1 игрок 2 видит предложение игрока 1 до или после того, как сделает выбор?",До,После,Не знаю,,,,После,"Игроку 2 предстоит сделать 11 выборов, для всех возможных решений игрока 1"
7,Должен ли что-то делать игрок 2 в игре 2?,Да,Нет,Не знаю,,,,Нет,Что получат оба игрока - решать только игроку 1
8,Сколько решений должен принять игрок 1 в игре 3?,,,,,,,2,"Во-первых, игрок 1 должен решить сколько предложить игроку 2, если игрок 2 выберет игру 1. Во-вторых, игрок 1 должен решить сколько предложить игроку 2, если игрок 2 выберет игру 2"
9,Сколько решений должен принять игрок 2 в игре 3?,1,2,3,1 или 2 в зависимости от первого решения,1 или 12 в зависимости от первого решения,Не знаю,1 или 12 в зависимости от первого решения,"Если игрок 2 выбрал игру 2, он должен сделать еще 11 выборов, по одному для каждого возможного предложения игрока 1"
10,"Во время игры 3 может ли игрок 1 предложить разное количество жетонов игроку 2, в зависимости от того, какую игру выбрал игрок 2?",Да,Нет,Не знаю,,,,Да,"Тот факт, что игрок 1 делает два выбора, означает ровно это"
