survey,id,question,choice1,choice2,choice3,,
1,1,Объясните Вашу логику в игре 1,,,,,
1,2,Объясните Вашу логику в игре 2,,,,,
1,3,Объясните Вашу логику в игре 3,,,,,
2,1,"Игроку 2 следует всегда принимать любое предложение, даже если игрок 1 предложил ему 0 жетонов. Любое другое поведение просто глупо.",,,,,
2,2,"Игроку 2 следует всегда принимать любое предложение, кроме, возможно, того случая, когда игрок 1 предлагает 0 жетонов. Любое другое поведение просто глупо.",,,,,
2,3,Отвергать маленькие предложения - достаточно типичное поведение для игрока 2. Большинство людей принимают предложения в 30 жетонов и более.,,,,,
2,4,"Игроку 2 следует отвергнуть любые предложение, которые меньше 50 жетонов.",,,,,
2,5,"Игроку 1 следует предложить 50 жетонов игроку 2, потому что только это является справедливым дележом.",,,,,
2,6,Игрок 1 имеет полное моральное право предложить 0 жетонов в игре 2. Ничего зазорного в этом нет.,,,,,
2,7,"В игре 3 игроку 1 следует дать больше игроку 2, если тот выбрал игру 1.",,,,,
2,8,"В игре 3 игроку 1 следует дать больше игроку 2, если тот выбрал игру 2.",,,,,
2,9,Выбор игры 1 - признак некооперативного поведения.,,,,,
2,10,"Игроку 1 следует дать больше игроку 2 в игре 1 в том случае, если тот выбрал эту игру сам (как в игре 3), так как такой выбор означает, что игрок 2 откажется от маленьких предложений с большей вероятностью.",,,,,
2,11,"Игроку 1 следует дать меньше игроку 2 в игре 1 в том случае, если тот выбрал эту игру сам (как в игре 3), из-за желания наказать игрока 2.",,,,,
2,12,"Игроку 1 следует дать больше игроку 2 в игре 2 в том случае, если тот выбрал эту игру сам (как в игре 3), чтобы наградить игрока 2 за кооперативное поведение.",,,,,
2,13,"Игроку 1 следует дать меньше игроку 2 в игре 2 в том случае, если тот выбрал эту игру сам (как в игре 3), так как такой выбор означает, что игрок 2 понимает, что в этом эксперименте вся власть на стороне игрока 1, и игрок 1 имеет полное моральное право предложить очень мало (или даже вообще ничего).",,,,,
2,14,"Игроку 2 следует выбрать игру 1, так как добровольно отказаться от возможности отвергнуть преложение - просто глупо.",,,,,
2,15,"Игроку 2 следует выбрать игру 1, так как такая стратегия ведёт к более высокому предложению.",,,,,
2,16,"Игроку 2 следует выбрать игру 2, так как такая стратегия ведёт к более высокому предложению.",,,,,
2,17,"Игроку 2 следует выбрать игру 2, продемонстрировав таким образом игроку 1 своё доверие.",,,,,
2,18,"Игроку 2 следует выбрать игру 2, потому что глупо отвергать любые предложения, и все это понимают.",,,,,
